name,authorfirstname,authorlastname
"Steve Jobs","Isaacson","Walter"
"Leonardo Da Vinci","Isaacson","Walter"
"Benjamin Franklin","Isaacson","Walter"
"Flatland","Edwin","Abbott"
"Trump's America","Newt","Gingrich"
"Albert Einstein",null
"The Happiness Equation", "Neil", "Pasricha"
"The Go-giver", "Bob", "Burg"
"Amazing Truths", "Michael", "Guillen"
"The Language of God", "Francis", "Collins"
"The Pursuit of God", "A.W", "Tozer"
"The Fine Art of Small Talk", "Debra", "Fine"
